Provinsi,Kota/Kabupaten,Lokasi SPKLU,Alamat,Latitude,Longitude,google maps,Jenis Konektor
Sulawesi Barat,Majene,SPKLU PLN ULP MAJENE,"Banggae, Kec. Banggae, Kabupaten Majene, Sulawesi Barat 91412",-3.539954928,118.9691052,https://maps.app.goo.gl/VQsE7diFzU7uNm8Y6,AC TYPE 2
Sulawesi Barat,Mamuju,SPKLU ULP MANAKARRA,"JL Sultan Hasanuddin No 43, Binanga, Mamuju, Sulawesi Barat 91511",-2.677149731,118.895455,https://maps.app.goo.gl/xttxsxne4J2LyfCQ8,AC TYPE 2
Sulawesi Barat,Mamuju,SPKLU PLN UP3 MAMUJU,"Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511",-2.676963041,118.8951509,https://maps.app.goo.gl/uDzLHLcgPpqeiKrNA,CCS2
Sulawesi Barat,Mamuju,SPKLU PLN KP TOPOYO,"Topoyo, Kec. Topoyo, Kabupaten Mamuju, Sulawesi Barat",-2.063278862,119.293196,https://maps.app.goo.gl/CqcFSE9PSijKj1SHA,AC TYPE 2
Sulawesi Barat,Mamuju,(WULING) Kumala Mamuju,"Jl. H. Andi Da'i No.50C, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91515",-2.670857235,118.8958539,https://maps.app.goo.gl/TPkyNrBaU1WASory9,GB/T
Sulawesi Barat,Mamuju,Kalla Toyota Mamuju,"Jl. Sudirman No. 1, Mamuju - Sulawesi Barat",-2.688426972,118.8683364,https://maps.app.goo.gl/k9krQhzqntvHosoH7,AC TYPE 2
Sulawesi Barat,Pasangkayu,SPKLU PLN ULP PASANGKAYU,"Pasangkayu, Kec. Pasangkayu, Kab. Pasangkayu, Sulawesi Barat 91574",-1.172098277,119.3705015,https://maps.app.goo.gl/H71wEX2zsQyDZ6zR8,AC TYPE 2
Sulawesi Barat,Polewali Mandar,SPKLU PLN ULP POLEWALI,"Jl Ahmad Yani Wattang, Kabupaten Polewali Mandar, Sulawesi Barat",-3.432819128,119.3469686,https://maps.app.goo.gl/pa68sj9kmRWjY6NR7,CCS2
Sulawesi Selatan,Barru,SPKLU PLN ULP BARRU,"Jl. Sultan Hasanuddin No.9923, Coppo, Kec. Barru, Kabupaten Barru, Sulawesi Selatan 90711",-4.422912775,119.618058,https://maps.app.goo.gl/L8DLXFmi1JW2fKNt9,AC TYPE 2
Sulawesi Selatan,Bone,SPKLU PLN ULP HASANUDDIN,"Jl. Sultan Hasanuddin no. 23 Kab. Bone, Sulawesi Selatan",-4.540136526,120.3266307,https://maps.app.goo.gl/hiTdPQLcDUiw69wu6,AC TYPE 2
Sulawesi Selatan,Bone,SPKLU PLN UP3 WATAMPONE,"Jl. Jenderal Sudirman No.10, Biru, Kec. Tanete Riattang, Kabupaten Bone, Sulawesi Selatan 92714",-4.55519994,120.3317466,https://maps.app.goo.gl/aTDV8A6tXbjbQzVY7,"AC TYPE 2, CCS2"
Sulawesi Selatan,Bone,(WULING) Kumala Bone,"Jl. Jend. Sukawati No.2, Macege, Kec. Tanete Riattang Bar., Kabupaten Bone, Sulawesi Selatan 90225",-4.54460311,120.3193075,https://maps.app.goo.gl/BpK5wmnjqXTuckW86,GB/T
